,date,symbol,sc_code,sc_group,open,high,low,close,prev_close,volume,turnover
503197,2015-08-26,ZEEL,505537,A ,365.15,377.45,361.4,368.45,367.15,2093,25596111.0
506114,2015-08-27,ZEEL,505537,A ,371.9,374.75,363.1,371.3,368.45,1769,22875365.0
509038,2015-08-28,ZEEL,505537,A ,374.75,392.75,374.75,387.6,371.3,2718,35750529.0
511984,2015-08-31,ZEEL,505537,A ,389.4,389.4,379.1,385.6,387.6,1314,19643488.0
514915,2015-09-01,ZEEL,505537,A ,385.0,385.0,366.25,371.55,385.6,1360,18054034.0
517878,2015-09-02,ZEEL,505537,A ,372.0,376.5,359.95,360.75,371.55,2127,20782778.0
520784,2015-09-03,ZEEL,505537,A ,361.55,371.0,360.5,369.1,360.75,1736,18206842.0
523760,2015-09-04,ZEEL,505537,A ,367.0,373.9,359.85,361.2,369.1,1511,15121747.0
526701,2015-09-07,ZEEL,505537,A ,362.05,365.0,358.55,360.9,361.2,1333,15515130.0
529628,2015-09-08,ZEEL,505537,A ,361.0,380.0,358.1,370.4,360.9,1745,27353195.0
532570,2015-09-09,ZEEL,505537,A ,365.0,386.15,365.0,384.3,370.4,2717,29872547.0
535538,2015-09-10,ZEEL,505537,A ,385.0,394.25,376.3,390.85,384.3,2704,33843798.0
538414,2015-09-11,ZEEL,505537,A ,390.85,398.45,388.1,390.35,390.85,2592,38072405.0
541321,2015-09-14,ZEEL,505537,A ,392.05,396.15,392.05,395.2,390.35,2009,19108976.0
544225,2015-09-15,ZEEL,505537,A ,396.1,398.2,392.15,393.9,395.2,859,13844482.0
547117,2015-09-16,ZEEL,505537,A ,395.3,398.3,394.1,395.4,393.9,659,9372137.0
550043,2015-09-18,ZEEL,505537,A ,395.0,406.85,395.0,398.7,395.4,3979,46522274.0
552937,2015-09-21,ZEEL,505537,A ,397.55,403.0,396.15,402.05,398.7,1470,15024748.0
555842,2015-09-22,ZEEL,505537,A ,405.0,405.1,385.9,389.4,402.05,2901,22427142.0
558803,2015-09-23,ZEEL,505537,A ,386.0,390.4,378.15,387.3,389.4,1734,22228795.0
561731,2015-09-24,ZEEL,505537,A ,387.05,399.45,384.7,393.9,387.3,2140,31545192.0
564707,2015-09-28,ZEEL,505537,A ,394.55,395.0,382.75,383.4,393.9,1653,27728271.0
567718,2015-09-29,ZEEL,505537,A ,383.4,393.45,376.5,390.75,383.4,2302,36612348.0
570603,2015-09-30,ZEEL,505537,A ,391.1,395.8,388.75,392.7,390.75,2243,43337967.0
573536,2015-10-01,ZEEL,505537,A ,394.0,402.35,384.55,400.35,392.7,4331,77253988.0
576506,2015-10-05,ZEEL,505537,A ,404.5,406.25,400.3,402.2,400.35,1876,35491390.0
579542,2015-10-06,ZEEL,505537,A ,403.75,403.75,397.25,398.15,402.2,965,14446026.0
582554,2015-10-07,ZEEL,505537,A ,398.3,401.7,393.0,399.5,398.15,1169,14661961.0
585566,2015-10-08,ZEEL,505537,A ,398.1,404.2,395.15,396.9,399.5,1331,19625102.0
588580,2015-10-09,ZEEL,505537,A ,401.85,402.3,398.15,400.7,396.9,779,11289775.0
591628,2015-10-12,ZEEL,505537,A ,402.0,405.85,398.8,401.55,400.7,1662,21331974.0
594656,2015-10-13,ZEEL,505537,A ,402.15,403.9,397.6,401.15,401.55,780,12054344.0
597677,2015-10-14,ZEEL,505537,A ,400.8,400.8,381.0,385.6,401.15,9961,196648579.0
600738,2015-10-15,ZEEL,505537,A ,389.0,422.5,388.1,418.5,385.6,13416,318955231.0
603764,2015-10-16,ZEEL,505537,A ,420.45,426.1,414.3,422.15,418.5,5001,99429086.0
606810,2015-10-19,ZEEL,505537,A ,422.0,432.4,416.0,429.45,422.15,4508,78616315.0
609847,2015-10-20,ZEEL,505537,A ,427.1,436.0,427.1,434.65,429.45,3267,48786571.0
612930,2015-10-21,ZEEL,505537,A ,434.0,440.3,432.3,433.95,434.65,3765,61252225.0
615961,2015-10-23,ZEEL,505537,A ,439.8,439.8,430.0,432.3,433.95,2951,257245821.0
618982,2015-10-26,ZEEL,505537,A ,436.0,436.0,423.8,424.65,432.3,1504,49827874.0
622003,2015-10-28,ZEEL,505537,A ,424.55,426.6,417.65,420.35,424.65,1763,40404760.0
624999,2015-10-29,ZEEL,505537,A ,422.0,422.75,414.45,415.55,420.35,2055,37470811.0
628000,2015-10-30,ZEEL,505537,A ,415.5,421.2,406.1,408.4,415.55,2420,37201120.0
630954,2015-11-02,ZEEL,505537,A ,415.0,415.95,405.15,413.5,408.4,2252,29861842.0
633901,2015-11-03,ZEEL,505537,A ,413.5,416.5,412.05,415.05,413.5,1973,24670096.0
636887,2015-11-04,ZEEL,505537,A ,415.05,417.8,412.95,414.9,415.05,2759,128819880.0
639892,2015-11-05,ZEEL,505537,A ,413.2,414.9,404.5,405.9,414.9,955,52289872.0
642841,2015-11-06,ZEEL,505537,A ,407.95,410.4,395.4,398.6,405.9,2268,35940467.0
645781,2015-11-09,ZEEL,505537,A ,396.0,396.0,386.0,390.7,398.6,1512,25723831.0
648663,2015-11-10,ZEEL,505537,A ,390.0,397.75,384.55,386.8,390.7,3722,51418864.0
651528,2015-11-11,ZEEL,505537,A ,395.0,395.5,390.6,391.8,386.8,409,7380832.0
654103,2015-11-13,ZEEL,505537,A ,383.0,388.05,376.0,377.35,391.8,2604,29447160.0
657005,2015-11-16,ZEEL,505537,A ,378.0,382.8,375.0,378.75,377.35,2485,31989166.0
659985,2015-11-17,ZEEL,505537,A ,382.1,384.0,376.5,379.75,378.75,2487,49371707.0
663018,2015-11-18,ZEEL,505537,A ,379.9,383.6,378.0,379.2,379.75,5195,65323458.0
666032,2015-11-19,ZEEL,505537,A ,381.7,391.6,379.75,390.45,379.2,4654,75497322.0
669073,2015-11-20,ZEEL,505537,A ,391.0,400.0,389.6,395.5,390.45,1768,35562579.0
672118,2015-11-23,ZEEL,505537,A ,399.0,409.05,396.0,407.3,395.5,3450,50860526.0
675106,2015-11-24,ZEEL,505537,A ,403.5,409.15,399.1,401.4,407.3,1835,19518482.0
678125,2015-11-26,ZEEL,505537,A ,401.4,414.95,401.4,408.95,401.4,2601,32507561.0
681176,2015-11-27,ZEEL,505537,A ,410.25,414.0,406.85,411.2,408.95,1291,16205161.0
684187,2015-11-30,ZEEL,505537,A ,412.4,417.0,406.55,408.35,411.2,2264,18535677.0
687263,2015-12-01,ZEEL,505537,A ,414.0,416.5,407.85,414.85,408.35,2026,26506538.0
690407,2015-12-02,ZEEL,505537,A ,415.0,418.6,412.1,413.95,414.85,1615,14358890.0
693482,2015-12-03,ZEEL,505537,A ,410.0,415.35,408.6,410.15,413.95,1430,13051280.0
696561,2015-12-04,ZEEL,505537,A ,410.0,410.0,394.0,395.65,410.15,3026,26024984.0
699625,2015-12-07,ZEEL,505537,A ,398.0,401.9,394.9,400.2,395.65,1566,28073550.0
702731,2015-12-08,ZEEL,505537,A ,394.0,405.5,394.0,400.7,400.2,1587,21914857.0
705795,2015-12-09,ZEEL,505537,A ,399.55,403.15,393.1,395.45,400.7,1071,13617565.0
708869,2015-12-10,ZEEL,505537,A ,392.0,403.95,387.5,401.95,395.45,1915,24715346.0
711870,2015-12-11,ZEEL,505537,A ,403.0,404.35,394.5,396.7,401.95,869,13148222.0
714894,2015-12-14,ZEEL,505537,A ,395.55,407.8,395.55,406.3,396.7,1028,12470249.0
717913,2015-12-15,ZEEL,505537,A ,407.75,411.9,405.65,407.35,406.3,2167,24820195.0
720941,2015-12-16,ZEEL,505537,A ,408.35,411.7,406.15,408.3,407.35,1306,18234038.0
724012,2015-12-17,ZEEL,505537,A ,409.0,416.3,404.1,415.4,408.3,1820,38046216.0
727052,2015-12-18,ZEEL,505537,A ,413.1,418.5,412.4,413.95,415.4,1347,19201391.0
730100,2015-12-21,ZEEL,505537,A ,413.15,418.2,413.15,416.7,413.95,1680,207519948.0
733176,2015-12-22,ZEEL,505537,A ,413.0,418.0,412.05,415.6,416.7,1216,19599510.0
736231,2015-12-23,ZEEL,505537,A ,407.0,420.25,407.0,418.55,415.6,1448,16493704.0
739307,2015-12-24,ZEEL,505537,A ,417.0,417.85,410.0,410.65,418.55,1716,16309841.0
742337,2015-12-28,ZEEL,505537,A ,410.75,415.9,409.5,411.1,410.65,1094,11486994.0
745437,2015-12-29,ZEEL,505537,A ,408.0,417.8,408.0,415.25,411.1,1314,16490351.0
748512,2015-12-30,ZEEL,505537,A ,415.25,429.4,415.25,427.95,415.25,3242,46143213.0
751633,2015-12-31,ZEEL,505537,A ,429.0,439.45,425.4,437.05,427.95,3888,48559012.0
754678,2016-01-01,ZEEL,505537,A ,437.5,437.5,430.75,432.75,437.05,1077,10588189.0
757756,2016-01-04,ZEEL,505537,A ,432.75,432.75,420.85,422.05,432.75,1282,10937483.0
760910,2016-01-05,ZEEL,505537,A ,422.0,430.15,421.4,424.75,422.05,2045,13948085.0
764080,2016-01-06,ZEEL,505537,A ,424.75,425.5,417.6,422.85,424.75,1127,9237602.0
767267,2016-01-07,ZEEL,505537,A ,420.55,421.5,413.1,415.2,422.85,1887,17655101.0
770421,2016-01-08,ZEEL,505537,A ,418.95,419.6,409.75,412.45,415.2,3835,49790184.0
773508,2016-01-11,ZEEL,505537,A ,408.0,415.2,404.45,409.75,412.45,2460,44155464.0
776593,2016-01-12,ZEEL,505537,A ,407.55,411.2,404.35,406.95,409.75,1215,8486729.0
779703,2016-01-13,ZEEL,505537,A ,408.6,417.0,406.1,414.3,406.95,2768,33584288.0
782816,2016-01-14,ZEEL,505537,A ,406.0,421.3,406.0,415.8,414.3,2864,204849467.0
785816,2016-01-15,ZEEL,505537,A ,420.0,422.0,395.0,401.8,415.8,11680,135150595.0
788826,2016-01-18,ZEEL,505537,A ,397.0,401.2,378.1,394.45,401.8,2870,48736025.0
791872,2016-01-19,ZEEL,505537,A ,393.5,401.6,388.5,395.35,394.45,1984,20140673.0
794861,2016-01-20,ZEEL,505537,A ,390.0,390.0,375.1,383.95,395.35,3123,22515522.0
797769,2016-01-21,ZEEL,505537,A ,386.0,396.5,384.0,385.55,383.95,825,10407725.0
800707,2016-01-22,ZEEL,505537,A ,388.7,401.0,388.7,397.0,385.55,3115,242189076.0
803680,2016-01-25,ZEEL,505537,A ,397.55,404.55,390.2,391.15,397.0,1850,16420039.0
806643,2016-01-27,ZEEL,505537,A ,392.55,398.7,392.55,396.35,391.15,1616,15884011.0
809570,2016-01-28,ZEEL,505537,A ,398.0,408.2,396.35,404.65,396.35,3891,29740575.0
812461,2016-01-29,ZEEL,505537,A ,404.65,422.3,404.4,420.45,404.65,1823,29077837.0
815388,2016-02-01,ZEEL,505537,A ,423.0,423.0,411.35,416.2,420.45,1210,12186845.0
818379,2016-02-02,ZEEL,505537,A ,415.85,416.8,400.25,402.2,416.2,1463,16065340.0
